V0	Vf	V_sent	D	dt	triple_id	considered_samples
0.880000	2.400000	2.400000	670.400000	0.001512	244.000000	0.000000	1.000000
1.040000	2.400000	2.400000	624.400000	0.001500	245.000000	0.000000	1.000000
1.200000	2.400000	2.400000	564.000000	0.001497	246.000000	0.000000	1.000000
1.440000	2.400000	2.400000	516.400000	0.001001	247.000000	0.000000	1.000000
1.680000	2.400000	2.400000	462.400000	0.001007	248.000000	0.000000	1.000000
1.840000	2.400000	2.400000	368.400000	0.000502	249.000000	0.000000	1.000000
2.080000	2.400000	2.400000	298.400000	0.000502	250.000000	0.000000	1.000000
2.240000	2.400000	2.400000	180.400000	0.000499	251.000000	0.000000	1.000000
2.640000	2.400000	2.400000	150.800000	0.000000	252.000000	0.000000	1.000000
2.880000	2.400000	2.400000	260.000000	0.000000	253.000000	0.000000	1.000000
3.040000	2.400000	2.400000	434.800000	0.001011	254.000000	0.000000	1.000000
3.280000	2.400000	2.400000	560.000000	0.000981	255.000000	0.000000	1.000000
3.440000	2.400000	2.400000	758.800000	0.001018	256.000000	0.000000	1.000000
3.680000	2.400000	2.400000	900.000000	0.001016	257.000000	0.000000	1.000000
3.840000	2.400000	2.400000	1122.800000	0.001501	258.000000	0.000000	1.000000
4.080000	2.400000	2.400000	1280.000000	0.001501	259.000000	0.000000	1.000000
0.000000	2.560000	2.600000	819.200000	0.003512	260.000000	0.000000	1.000000
0.240000	2.560000	2.600000	819.600000	0.001994	261.000000	0.000000	1.000000
0.480000	2.560000	2.600000	813.600000	0.003009	262.000000	0.000000	1.000000
0.640000	2.560000	2.600000	791.600000	0.002505	263.000000	0.000000	1.000000
0.880000	2.560000	2.600000	769.600000	0.002493	264.000000	0.000000	1.000000
1.040000	2.560000	2.600000	723.600000	0.002504	265.000000	0.000000	1.000000
1.200000	2.560000	2.600000	663.200000	0.001496	266.000000	0.000000	1.000000
1.440000	2.560000	2.600000	615.600000	0.000999	267.000000	0.000000	1.000000
1.680000	2.560000	2.600000	561.600000	0.001501	268.000000	0.000000	1.000000
1.840000	2.560000	2.600000	467.600000	0.001002	269.000000	0.000000	1.000000
2.080000	2.560000	2.600000	397.600000	0.000499	270.000000	0.000000	1.000000
2.240000	2.560000	2.600000	279.600000	0.000501	271.000000	0.000000	1.000000
2.480000	2.560000	2.600000	193.600000	0.000499	272.000000	0.000000	1.000000
2.880000	2.640000	2.600000	108.800000	0.000507	273.000000	0.000000	1.000000
3.040000	2.640000	2.600000	283.600000	0.000500	274.000000	0.000000	1.000000
3.280000	2.640000	2.600000	408.800000	0.001001	275.000000	0.000000	1.000000
3.440000	2.640000	2.600000	607.600000	0.001020	276.000000	0.000000	1.000000
3.680000	2.640000	2.600000	748.800000	0.000983	277.000000	0.000000	1.000000
3.840000	2.640000	2.600000	971.600000	0.001495	278.000000	0.000000	1.000000
4.080000	2.640000	2.600000	1128.800000	0.001513	279.000000	0.000000	1.000000
0.000000	2.800000	2.800000	980.000000	0.003000	280.000000	0.000000	1.000000
0.240000	2.800000	2.800000	980.400000	0.003984	281.000000	0.000000	1.000000
0.480000	2.800000	2.800000	974.400000	0.003001	282.000000	0.000000	1.000000
0.640000	2.800000	2.800000	952.400000	0.002014	283.000000	0.000000	1.000000
0.880000	2.800000	2.800000	930.400000	0.002485	284.000000	0.000000	1.000000
1.040000	2.800000	2.800000	884.400000	0.002001	285.000000	0.000000	1.000000
1.200000	2.800000	2.800000	824.000000	0.002499	286.000000	0.000000	1.000000
1.440000	2.800000	2.800000	776.400000	0.001485	287.000000	0.000000	1.000000
1.680000	2.800000	2.800000	722.400000	0.000998	288.000000	0.000000	1.000000
1.840000	2.800000	2.800000	628.400000	0.001001	289.000000	0.000000	1.000000
2.080000	2.800000	2.800000	558.400000	0.000998	290.000000	0.000000	1.000000
2.240000	2.800000	2.800000	440.400000	0.000496	291.000000	0.000000	1.000000
2.480000	2.800000	2.800000	354.400000	0.000492	292.000000	0.000000	1.000000
2.640000	2.800000	2.800000	212.400000	0.000000	293.000000	0.000000	1.000000
3.040000	2.800000	2.800000	174.800000	0.000000	294.000000	0.000000	1.000000
3.280000	2.800000	2.800000	300.000000	0.000000	295.000000	0.000000	1.000000
3.440000	2.800000	2.800000	498.800000	0.000000	296.000000	0.000000	1.000000
3.680000	2.800000	2.800000	640.000000	0.001012	297.000000	0.000000	1.000000
3.840000	2.800000	2.800000	862.800000	0.001002	298.000000	0.000000	1.000000
4.080000	2.800000	2.800000	1020.000000	0.000982	299.000000	0.000000	1.000000
0.000000	2.960000	3.000000	1095.200000	0.002516	300.000000	0.000000	1.000000
0.240000	2.960000	3.000000	1095.600000	0.002995	301.000000	0.000000	1.000000
0.480000	2.960000	3.000000	1089.600000	0.003501	302.000000	0.000000	1.000000
0.640000	2.960000	3.000000	1067.600000	0.002987	303.000000	0.000000	1.000000
0.880000	2.960000	3.000000	1045.600000	0.002504	304.000000	0.000000	1.000000
1.040000	2.960000	3.000000	999.600000	0.002015	305.000000	0.000000	1.000000
1.200000	2.960000	3.000000	939.200000	0.002508	306.000000	0.000000	1.000000
1.440000	2.960000	3.000000	891.600000	0.001517	307.000000	0.000000	1.000000
1.680000	2.960000	3.000000	837.600000	0.001981	308.000000	0.000000	1.000000
1.840000	2.960000	3.000000	743.600000	0.001029	309.000000	0.000000	1.000000
2.080000	2.960000	3.000000	673.600000	0.000488	310.000000	0.000000	1.000000
2.240000	2.960000	3.000000	555.600000	0.000999	311.000000	0.000000	1.000000
2.480000	2.960000	3.000000	469.600000	0.001008	312.000000	0.000000	1.000000
2.640000	2.960000	3.000000	327.600000	0.000515	313.000000	0.000000	1.000000
2.880000	2.960000	3.000000	225.600000	0.000488	314.000000	0.000000	1.000000
3.280000	3.040000	3.000000	124.800000	0.000500	315.000000	0.000000	1.000000
3.440000	3.040000	3.000000	323.600000	0.000516	316.000000	0.000000	1.000000
3.680000	3.040000	3.000000	464.800000	0.000487	317.000000	0.000000	1.000000
3.840000	3.040000	3.000000	687.600000	0.000998	318.000000	0.000000	1.000000
4.080000	3.040000	3.000000	844.800000	0.001989	319.000000	0.000000	1.000000
0.000000	3.200000	3.200000	1280.000000	0.003015	320.000000	0.000000	1.000000
0.240000	3.200000	3.200000	1280.400000	0.004493	321.000000	0.000000	1.000000
0.480000	3.200000	3.200000	1274.400000	0.002516	322.000000	0.000000	1.000000
0.640000	3.200000	3.200000	1252.400000	0.003492	323.000000	0.000000	1.000000
0.880000	3.200000	3.200000	1230.400000	0.002996	324.000000	0.000000	1.000000
1.040000	3.200000	3.200000	1184.400000	0.002986	325.000000	0.000000	1.000000
1.200000	3.200000	3.200000	1124.000000	0.002009	326.000000	0.000000	1.000000
1.440000	3.200000	3.200000	1076.400000	0.002501	327.000000	0.000000	1.000000
1.680000	3.200000	3.200000	1022.400000	0.002002	328.000000	0.000000	1.000000
1.840000	3.200000	3.200000	928.400000	0.001501	329.000000	0.000000	1.000000
2.080000	3.200000	3.200000	858.400000	0.002000	330.000000	0.000000	1.000000
2.240000	3.200000	3.200000	740.400000	0.001000	331.000000	0.000000	1.000000
