V0	Vf	V_sent	D	dt
0.000109	0.016460	0.000000	81.810254	0.022476	364.000000
0.016180	0.012544	0.000000	41.370188	0.017500	365.000000
0.016498	0.013514	0.000000	63.808652	0.014580	366.000000
0.014282	0.009005	0.000000	26.185218	0.016304	367.000000
0.000055	0.024188	0.000000	45.642541	0.022192	368.000000
0.017480	0.015014	0.000000	11.556329	0.011465	369.000000
0.002476	0.006013	0.000000	32.923083	0.016010	370.000000
0.051983	0.001399	0.000000	20.744250	0.015621	371.000000
0.036928	0.014330	0.000000	11.820907	0.007573	372.000000
0.002067	0.022891	0.000000	13.716242	0.000576	373.000000
0.032431	0.015380	0.000000	11.950755	0.013572	374.000000
0.000463	0.017807	0.000000	21.107884	0.014509	375.000000
0.004059	0.015953	0.000000	15.635425	0.020739	376.000000
0.000729	0.022338	0.000000	14.467487	0.020545	377.000000
0.045178	0.004801	0.000000	2.068958	0.013529	378.000000
0.001476	0.009465	0.000000	4.203817	0.020837	379.000000
0.017734	0.005805	0.000000	105.224310	0.019185	380.000000
0.023207	0.028635	0.000000	46.610282	0.022189	381.000000
0.031007	0.027981	0.000000	12.255516	0.022543	382.000000
0.016516	0.019065	0.000000	10.268404	0.010118	383.000000
0.050016	0.008751	0.000000	40.139912	0.019697	384.000000
0.036316	0.025423	0.000000	45.689457	0.007870	385.000000
0.000588	0.011175	0.000000	46.318505	0.009645	386.000000
0.042312	0.019504	0.000000	15.904810	0.016197	387.000000
0.007826	0.006324	0.000000	39.659927	0.016412	388.000000
0.039664	0.011468	0.000000	11.292076	0.014509	389.000000
0.002296	0.022741	0.000000	36.223775	0.016066	390.000000
0.000230	0.020821	0.000000	26.822598	0.010111	391.000000
0.018521	0.004703	0.000000	23.804260	0.017577	392.000000
0.023907	0.008484	0.000000	22.164229	0.010117	393.000000
0.005486	0.017459	0.000000	12.454210	0.016455	394.000000
0.001596	0.018229	0.000000	3.187320	0.008527	395.000000
0.001101	0.017586	0.000000	10.928399	0.022053	396.000000
0.017195	0.018194	0.000000	7.792078	0.021382	397.000000
0.045833	0.016844	0.000000	5.421130	0.020661	398.000000
0.001707	0.014440	0.000000	2.069099	0.013530	399.000000
0.042799	0.020262	0.000000	58.919861	0.010065	400.000000
0.049037	0.001511	0.000000	40.832329	0.022335	401.000000
0.003609	0.006161	0.000000	21.113522	0.022604	402.000000
0.001625	0.008463	0.000000	33.749566	0.009643	403.000000
0.045049	0.005369	0.000000	47.670671	0.016582	404.000000
0.009903	0.007298	0.000000	39.094890	0.009817	405.000000
0.000945	0.017766	0.000000	35.732597	0.016518	406.000000
0.044137	0.011426	0.000000	21.447253	0.022748	407.000000
0.029149	0.013198	0.000000	30.108158	0.025554	408.000000
0.007291	0.008548	0.000000	33.269202	0.022480	409.000000
0.001168	0.002802	0.000000	16.206926	0.007233	410.000000
0.031377	0.012410	0.000000	14.179319	0.016499	411.000000
0.004260	0.014774	0.000000	17.898389	0.015499	412.000000
0.002153	0.018970	0.000000	13.514060	0.017381	413.000000
0.022391	0.015522	0.000000	8.424248	0.020115	414.000000
