V0	Vf	V_sent	D	dt
-2.592326	-1.826466	-1.800000	360.660329	0.142325	227.000000
-2.392055	-1.830158	-1.800000	297.521301	0.132666	228.000000
-2.185017	-1.807633	-1.800000	279.591014	0.128997	229.000000
-1.973072	-1.820161	-1.800000	239.895762	0.119659	230.000000
-1.592480	-1.775189	-1.800000	221.689133	0.131334	231.000000
-1.367926	-1.779981	-1.800000	219.577672	0.144335	232.000000
-1.190493	-1.775398	-1.800000	233.758881	0.161867	233.000000
-0.991921	-1.767424	-1.800000	237.547498	0.182178	234.000000
-0.752841	-1.773377	-1.800000	394.333050	0.296769	235.000000
-0.565967	-1.777787	-1.800000	239.044036	0.229669	236.000000
-0.371632	-1.787435	-1.800000	235.940773	0.243999	237.000000
-0.189279	-1.784767	-1.800000	213.152572	0.249909	238.000000
-0.000330	-1.787575	-1.800000	204.874113	0.276334	239.000000
-3.985170	-1.597186	-1.600000	750.522380	0.237305	240.000000
-3.792989	-1.611258	-1.600000	659.823405	0.225668	241.000000
-3.586944	-1.601427	-1.600000	620.413391	0.221507	242.000000
-3.383688	-1.622110	-1.600000	557.533488	0.202336	243.000000
-3.184932	-1.599646	-1.600000	526.629720	0.202332	244.000000
-2.992422	-1.610153	-1.600000	468.721517	0.194666	245.000000
-2.788080	-1.619798	-1.600000	404.913411	0.167994	246.000000
-2.586472	-1.620419	-1.600000	380.470072	0.162622	247.000000
-2.391432	-1.619468	-1.600000	350.970317	0.152329	248.000000
-2.178503	-1.603239	-1.600000	307.824941	0.153656	249.000000
-1.991860	-1.634169	-1.600000	262.911214	0.133005	250.000000
-1.781411	-1.619218	-1.600000	216.441386	0.116392	251.000000
-1.392300	-1.575205	-1.600000	188.265834	0.120668	252.000000
-1.158539	-1.581745	-1.600000	205.306842	0.152333	253.000000
-0.966625	-1.584451	-1.600000	213.000328	0.173109	254.000000
-0.750075	-1.579003	-1.600000	195.602717	0.177666	255.000000
-0.561231	-1.583410	-1.600000	203.754652	0.207665	256.000000
-0.364039	-1.586005	-1.600000	192.009897	0.224001	257.000000
-0.189367	-1.565952	-1.600000	163.803318	0.225331	258.000000
-0.000253	-1.576936	-1.600000	159.789325	0.248994	259.000000
-3.973727	-1.419916	-1.400000	746.118490	0.252995	260.000000
-3.769704	-1.409837	-1.400000	695.115642	0.240997	261.000000
-3.545407	-1.416438	-1.400000	626.187663	0.233670	262.000000
-3.362401	-1.404440	-1.400000	575.297302	0.223668	263.000000
-3.168479	-1.406390	-1.400000	530.506449	0.215005	264.000000
-2.992099	-1.399629	-1.400000	466.397665	0.202010	265.000000
-2.767713	-1.409916	-1.400000	438.161174	0.187993	266.000000
-2.592244	-1.435171	-1.400000	401.451813	0.173667	267.000000
-2.375804	-1.402584	-1.400000	347.567179	0.170999	268.000000
-2.189469	-1.410923	-1.400000	319.242981	0.161667	269.000000
-1.990393	-1.401588	-1.400000	280.124227	0.147333	270.000000
-1.790935	-1.410808	-1.400000	225.134242	0.138666	271.000000
-1.572368	-1.411321	-1.400000	192.781388	0.119000	272.000000
-1.191770	-1.374288	-1.400000	167.577314	0.125335	273.000000
-0.990069	-1.381112	-1.400000	173.964910	0.142998	274.000000
