V0	Vf	V_sent	D	dt	triple_id	sample_id
2.792570	1.810395	1.800000	406.866029	0.156348	330.000000	0.000000
2.991893	1.802197	1.800000	418.786744	0.169991	331.000000	0.000000
3.192644	1.834630	1.800000	443.023926	0.168789	332.000000	0.000000
3.309408	1.834959	1.800000	507.930848	0.171000	333.000000	0.000000
3.592609	1.804494	1.800000	557.457768	0.199998	334.000000	0.000000
3.793240	1.804016	1.800000	629.597047	0.200036	335.000000	0.000000
3.992112	1.839086	1.800000	661.949097	0.201612	336.000000	0.000000
4.191821	1.804394	1.800000	716.043216	0.231422	337.000000	0.000000
4.306726	1.803955	1.800000	792.566898	0.231274	338.000000	0.000000
4.555964	1.813859	1.800000	888.631837	0.247002	339.000000	0.000000
4.789946	1.828530	1.800000	918.568126	0.243997	340.000000	0.000000
4.991096	1.800870	1.800000	973.423218	0.270255	341.000000	0.000000
5.192691	1.808812	1.800000	1003.219484	0.260854	342.000000	0.000000
5.393505	1.796247	1.800000	1139.343262	1.454229	343.000000	0.000000
5.593161	1.806562	1.800000	1191.305426	0.284965	344.000000	0.000000
5.793298	1.804612	1.800000	1198.566898	0.299774	345.000000	0.000000
5.991757	1.830933	1.800000	1341.304795	0.306556	346.000000	0.000000
6.193185	1.824651	1.800000	1349.969979	0.316523	347.000000	0.000000
6.387986	1.821985	1.800000	1455.231445	0.320000	348.000000	0.000000
6.590107	1.803945	1.800000	1538.188493	0.326733	349.000000	0.000000
6.792352	1.802238	1.800000	1543.528325	0.345610	350.000000	0.000000
6.991298	1.825655	1.800000	1599.487805	0.343890	351.000000	0.000000
-0.002776	1.971796	2.000000	233.601495	0.272001	352.000000	0.000000
0.192693	1.957237	2.000000	237.454027	0.245001	353.000000	0.000000
0.392874	1.985298	2.000000	254.891948	0.244000	354.000000	0.000000
0.529594	1.973236	2.000000	260.684091	0.227046	355.000000	0.000000
0.792691	1.967933	2.000000	256.654221	0.201979	356.000000	0.000000
0.992672	1.960753	2.000000	246.834901	0.183996	357.000000	0.000000
1.191624	1.988934	2.000000	273.211258	0.172740	358.000000	0.000000
1.384092	1.982506	2.000000	263.432450	0.158000	359.000000	0.000000
1.592292	1.982288	2.000000	235.095719	0.143001	360.000000	0.000000
1.790899	1.982494	2.000000	221.662750	0.116000	361.000000	0.000000
2.152826	2.002365	2.000000	224.920929	0.099995	362.000000	0.000000
2.392602	2.004363	2.000000	271.654725	0.129007	363.000000	0.000000
2.590975	1.999507	2.000000	358.135378	0.126993	364.000000	0.000000
2.789911	2.006696	2.000000	336.449097	0.143321	365.000000	0.000000
2.991749	2.007184	2.000000	440.114442	0.156996	366.000000	0.000000
3.188352	2.026967	2.000000	460.458132	0.157998	367.000000	0.000000
3.390971	2.001872	2.000000	513.238773	0.174000	368.000000	0.000000
3.590892	2.011263	2.000000	534.770695	0.187726	369.000000	0.000000
3.793258	2.012676	2.000000	604.093755	0.186325	370.000000	0.000000
3.991220	1.995390	2.000000	708.281128	0.215000	371.000000	0.000000
4.191980	2.002397	2.000000	679.765871	0.215177	372.000000	0.000000
4.307950	2.009961	2.000000	769.978885	0.229784	373.000000	0.000000
4.558587	1.996706	2.000000	828.337281	0.229583	374.000000	0.000000
4.793583	2.026106	2.000000	2248.897243	0.242408	375.000000	0.000000
4.992394	1.996489	2.000000	921.870852	0.258086	376.000000	0.000000
5.193591	2.043941	2.000000	916.784912	0.260170	377.000000	0.000000
5.393250	2.005159	2.000000	1053.523682	0.271011	378.000000	0.000000
5.593501	2.014401	2.000000	1078.044436	0.273015	379.000000	0.000000
5.748273	2.002607	2.000000	1242.364268	0.305244	380.000000	0.000000
5.985305	2.009312	2.000000	1274.410160	0.299244	381.000000	0.000000
6.186746	2.021194	2.000000	1304.166756	0.301002	382.000000	0.000000
6.390847	2.039101	2.000000	1429.960212	0.301035	383.000000	0.000000
6.592149	2.003281	2.000000	1490.255623	0.317003	384.000000	0.000000
6.793619	2.000690	2.000000	1495.972674	0.330006	385.000000	0.000000
6.982623	2.005779	2.000000	1634.882370	0.344001	386.000000	0.000000
-0.003354	2.192079	2.200000	334.048313	0.315996	387.000000	0.000000
0.192865	2.181129	2.200000	284.506771	0.273278	388.000000	0.000000
0.363054	2.177911	2.200000	308.473949	0.269999	389.000000	0.000000
0.592290	2.191623	2.200000	344.400879	0.259482	390.000000	0.000000
0.790813	2.178760	2.200000	311.182549	0.228377	391.000000	0.000000
0.992623	2.183872	2.200000	329.985767	0.215003	392.000000	0.000000
